"","Position","Year","Team"
"1610",10,"1988","St George"
"1611",11,"1988","Parramatta"
"1612",12,"1988","Eastern Sydney"
"1613",13,"1988","Illawarra"
"1614",14,"1988","Newcastle"
"1615",15,"1988","Gold Coast"
"1616",16,"1988","Western Suburbs"
"1621",1,"1989","South Sydney"
"1622",2,"1989","Penrith"
"1623",3,"1989","Balmain"
"1624",4,"1989","Canberra"
"1625",5,"1989","Cronulla"
"1626",6,"1989","Brisbane"
"1627",7,"1989","Canterbury"
"1628",8,"1989","Newcastle"
"1629",9,"1989","Parramatta"
"1630",10,"1989","St George"
"1631",11,"1989","Eastern Sydney"
"1632",12,"1989","Manly Warringah"
"1633",13,"1989","Gold Coast"
"1634",14,"1989","Western Suburbs"
"1635",15,"1989","North Sydney"
"1636",16,"1989","Illawarra"
"1641",1,"1990","Canberra"
"1642",2,"1990","Brisbane"
"1643",3,"1990","Penrith"
"1644",4,"1990","Manly Warringah"
"1645",5,"1990","Balmain"
"1646",6,"1990","Newcastle"
"1647",7,"1990","Canterbury"
"1648",8,"1990","Parramatta"
"1649",9,"1990","Illawarra"
"1650",10,"1990","Cronulla"
"1651",11,"1990","North Sydney"
"1652",12,"1990","St George"
"1653",13,"1990","Western Suburbs"
"1654",14,"1990","Eastern Sydney"
"1655",15,"1990","Gold Coast"
"1656",16,"1990","South Sydney"
"1661",1,"1991","Penrith"
"1662",2,"1991","Manly Warringah"
"1663",3,"1991","North Sydney"
"1664",4,"1991","Canberra"
"1665",5,"1991","Western Suburbs"
